,,,,,,,,,
,Datetime,Refrigeration Unit - 1,,Refrigeration Unit - 2,,Refrigeration Unit - 3,,Refrigeration Unit - 4,
,8/1/17 0:47,0.30,4.13,0.39,4.72,0.27,9.12,0.31,2.84
,8/1/17 0:48,0.30,4.50,0.39,5.06,0.27,8.75,0.31,3.12
,8/1/17 0:49,0.30,4.72,0.39,5.12,0.27,8.53,0.31,3.37
,8/1/17 0:50,0.30,4.90,0.39,5.18,1.33,8.40,2.37,3.15
,8/1/17 0:51,2.31,4.43,0.39,5.28,2.03,7.65,2.27,2.28
,8/1/17 0:52,2.16,3.50,0.39,5.40,1.97,7.06,2.23,1.72
,8/1/17 0:53,2.14,2.88,0.39,5.56,1.99,6.66,2.24,1.31
,8/1/17 0:54,2.15,2.44,0.39,6.12,2.02,6.28,2.24,0.91
,8/1/17 0:55,0.30,2.31,0.38,6.18,2.03,5.97,2.24,0.53
,8/1/17 0:56,0.30,3.00,0.38,6.18,2.04,5.69,0.31,0.56
,8/1/17 0:57,0.30,3.84,0.38,6.25,2.05,5.44,0.31,1.06
,8/1/17 0:58,0.30,4.28,0.38,6.34,2.06,5.19,0.31,1.56
,8/1/17 0:59,0.30,4.56,3.21,6.62,2.06,4.97,0.31,2.03
,8/1/17 1:00,0.30,4.81,3.21,5.19,2.07,4.78,0.31,2.41
,8/1/17 1:01,1.33,4.87,3.19,4.06,2.07,4.56,0.31,2.78
,8/1/17 1:02,2.23,4.06,3.19,3.22,2.06,4.40,0.31,3.06
,8/1/17 1:03,2.14,3.22,3.21,2.56,2.07,4.22,0.31,3.31
,8/1/17 1:04,2.14,2.81,3.21,2.00,2.07,4.03,1.35,3.34
,8/1/17 1:05,2.17,2.53,3.20,1.50,2.07,3.90,2.30,2.50
,8/1/17 1:06,0.30,2.28,3.22,1.03,2.08,3.72,2.24,1.90
,8/1/17 1:07,0.30,2.84,3.24,0.66,2.08,3.56,2.25,1.91
,8/1/17 1:08,0.30,3.69,3.24,0.28,2.08,3.40,2.25,1.44
,8/1/17 1:09,0.30,4.22,3.21,-0.09,2.07,3.31,2.25,0.97
,8/1/17 1:10,0.30,4.56,3.20,-0.47,2.08,3.34,2.24,0.53
,8/1/17 1:11,0.30,4.78,3.21,-0.81,2.09,3.37,0.31,0.56
,8/1/17 1:12,1.29,4.93,3.21,-1.16,,3.28,0.31,1.06
,8/1/17 1:13,2.31,4.25,3.21,-1.44,2.07,3.15,0.31,1.56
,8/1/17 1:14,2.17,3.37,3.21,-1.69,2.06,3.03,0.31,2.03
,8/1/17 1:15,2.16,2.81,3.21,-1.97,2.07,2.90,0.31,2.41
,8/1/17 1:16,1.24,2.34,3.20,-2.22,2.08,2.78,0.31,2.75
,8/1/17 1:17,0.30,2.41,3.20,-2.47,2.07,2.68,0.31,3.06
,8/1/17 1:18,0.30,3.25,3.20,-2.65,2.08,2.59,0.31,3.31
,8/1/17 1:19,0.30,4.00,3.21,-2.84,2.09,2.47,1.33,3.38
,8/1/17 1:20,0.30,4.41,3.20,-3.06,2.10,2.40,2.33,2.59
,8/1/17 1:21,0.30,4.69,3.21,-3.22,2.10,2.31,2.24,1.81
,8/1/17 1:22,0.31,4.87,3.21,-3.34,2.10,2.22,2.24,1.38
,8/1/17 1:23,2.34,4.72,3.21,-3.50,2.09,2.09,2.24,0.97
,8/1/17 1:24,2.22,3.78,3.20,-3.65,2.10,2.03,2.24,0.53
,8/1/17 1:25,2.18,3.12,0.39,-3.31,2.10,1.97,0.31,0.69
,8/1/17 1:26,2.22,3.31,0.39,-2.06,2.11,1.87,0.31,1.22
,8/1/17 1:27,2.22,2.94,0.39,-1.06,2.10,1.78,0.31,1.81
,8/1/17 1:28,2.21,2.47,0.39,-0.34,2.10,1.72,0.31,2.22
,8/1/17 1:29,0.31,2.25,0.39,0.09,2.10,1.65,0.31,2.59
,8/1/17 1:30,0.31,2.84,0.39,0.37,2.09,1.59,0.31,2.94
,8/1/17 1:31,0.31,3.69,0.39,0.56,2.09,1.53,0.31,3.19
,8/1/17 1:32,0.31,4.16,0.39,0.72,2.10,1.43,0.31,3.40
,8/1/17 1:33,0.31,4.50,0.39,0.84,2.10,1.37,2.37,3.09
,8/1/17 1:34,0.31,4.72,0.39,1.03,2.09,1.31,2.27,2.15
,8/1/17 1:35,1.64,4.90,0.38,1.28,2.09,1.25,2.24,1.59
,8/1/17 1:36,2.36,4.37,0.38,1.66,2.09,1.15,2.23,1.19
,8/1/17 1:37,2.20,3.47,0.38,1.87,1.19,1.12,2.24,0.72
,8/1/17 1:38,2.19,2.81,0.39,2.19,0.28,1.50,1.28,0.56
,8/1/17 1:39,1.26,2.41,0.39,2.37,0.28,2.06,0.31,1.00
,8/1/17 1:40,0.31,2.34,0.39,2.56,1.28,2.66,0.31,1.56
,8/1/17 1:41,0.31,3.09,0.39,2.75,2.18,2.41,0.31,2.09
,8/1/17 1:42,0.31,3.88,0.39,2.94,2.01,2.15,0.31,2.47
,8/1/17 1:43,0.31,4.34,0.38,3.09,2.04,2.06,0.31,2.81
,8/1/17 1:44,0.31,4.59,0.38,3.28,2.06,1.90,0.31,3.06
,8/1/17 1:45,0.31,4.81,0.39,3.40,2.08,1.78,0.31,3.34
,8/1/17 1:46,1.36,4.84,0.39,3.56,2.09,1.65,1.34,3.34
,8/1/17 1:47,2.27,4.00,0.39,3.72,2.10,1.53,2.37,2.50
,8/1/17 1:48,2.19,3.19,0.39,3.84,2.10,1.40,2.31,1.66
,8/1/17 1:49,2.20,2.66,0.39,3.97,0.28,1.37,2.31,1.19
,8/1/17 1:50,1.26,2.25,0.39,4.09,0.28,2.03,2.26,0.91
,8/1/17 1:51,0.31,2.53,0.39,4.22,0.28,2.87,2.24,0.53
,8/1/17 1:52,0.31,3.44,0.39,4.34,2.25,3.13,0.31,0.62
,8/1/17 1:53,0.31,4.09,0.39,4.47,2.04,2.53,0.31,1.28
,8/1/17 1:54,0.31,4.50,0.39,4.59,2.04,2.34,0.31,1.88
,8/1/17 1:55,0.31,4.72,0.39,4.72,2.05,2.12,0.31,2.28
,8/1/17 1:56,0.31,4.90,0.39,4.84,2.06,1.97,0.31,2.66
,8/1/17 1:57,2.36,4.62,0.39,4.90,2.08,1.81,0.31,2.97
,8/1/17 1:58,2.22,3.65,0.39,5.03,2.08,1.65,0.31,3.25
,8/1/17 1:59,2.19,3.00,0.39,5.15,2.08,1.50,0.31,3.44
,8/1/17 2:00,2.20,2.50,0.39,5.25,0.28,1.44,2.37,2.97
,8/1/17 2:01,0.31,2.28,0.39,5.31,0.28,2.03,2.24,2.00
,8/1/17 2:02,0.31,2.90,0.39,5.47,0.28,2.87,2.24,1.53
,8/1/17 2:03,0.31,3.75,0.39,5.56,2.24,3.22,,1.09
,8/1/17 2:04,0.31,4.25,0.39,5.65,2.03,2.59,2.24,0.66
,8/1/17 2:05,0.31,4.56,0.39,5.72,2.02,2.34,1.28,0.47
,8/1/17 2:06,0.31,4.75,1.78,5.78,2.04,2.12,0.31,0.94
,8/1/17 2:07,1.24,4.97,3.18,4.72,2.06,1.97,0.31,1.56
,8/1/17 2:08,2.35,4.40,3.19,3.40,2.09,1.78,0.31,2.09
,8/1/17 2:09,2.20,3.50,3.18,2.44,2.08,1.59,0.31,2.47
,8/1/17 2:10,2.19,2.88,3.18,1.72,1.18,1.47,0.31,2.81
,8/1/17 2:11,1.25,2.41,3.18,1.13,0.28,1.90,0.31,3.12
,8/1/17 2:12,0.31,2.38,3.17,0.66,0.28,2.78,0.31,3.34
,8/1/17 2:13,0.31,3.12,3.17,0.28,1.29,3.31,1.37,3.31
,8/1/17 2:14,0.31,3.91,3.17,0.75,2.03,2.75,2.36,2.43
,8/1/17 2:15,0.31,4.34,3.18,0.93,1.99,2.37,2.31,1.66
,8/1/17 2:16,0.31,4.62,3.18,0.63,2.02,2.25,2.33,1.25
,8/1/17 2:17,0.31,4.84,3.17,0.13,2.03,2.31,2.30,0.94
,8/1/17 2:18,2.27,4.78,3.16,-0.44,2.06,2.15,,0.59
,8/1/17 2:19,2.21,3.87,3.16,-0.91,2.07,1.94,0.31,0.63
,8/1/17 2:20,2.19,3.09,3.17,-1.28,2.09,1.75,0.31,1.09
,8/1/17 2:21,2.20,2.59,3.16,-1.62,1.18,1.56,0.31,1.72
,8/1/17 2:22,2.16,2.22,3.16,-1.94,0.28,1.69,0.31,2.22
,8/1/17 2:23,0.30,2.59,3.16,-2.15,0.28,2.40,0.31,2.62
,8/1/17 2:24,0.31,3.47,3.16,-2.40,1.09,3.19,0.31,2.91
,8/1/17 2:25,0.31,4.09,3.16,-2.62,2.19,3.03,0.31,3.19
,8/1/17 2:26,0.31,4.44,3.16,-2.87,1.98,2.50,0.31,3.40
,8/1/17 2:27,0.31,4.65,3.16,-3.03,2.02,2.31,2.39,3.15
,8/1/17 2:28,0.31,4.87,3.16,-3.22,2.03,2.12,2.27,2.18
,8/1/17 2:29,2.37,4.75,3.15,-3.40,2.06,1.94,2.23,
,8/1/17 2:30,2.24,3.81,3.15,-3.53,2.07,1.75,,1.68
,8/1/17 2:31,2.20,3.03,1.77,-3.65,1.18,1.62,,1.38
,8/1/17 2:32,2.22,2.53,0.40,-2.75,0.28,2.03,,0.94
,8/1/17 2:33,0.31,2.28,0.39,-1.53,0.28,2.87,,0.56
,8/1/17 2:34,0.31,2.87,0.39,-0.69,1.29,3.37,,0.69
,8/1/17 2:35,0.31,3.75,0.39,-0.09,2.02,2.75,,1.22
,8/1/17 2:36,0.31,4.28,0.39,0.28,,2.44,,1.78
,8/1/17 2:37,0.31,4.56,0.39,0.50,,2.22,,2.22
,8/1/17 2:38,0.31,4.78,0.39,0.69,2.04,2.28,,2.56
,8/1/17 2:39,1.33,4.90,0.39,0.84,2.05,2.28,,2.87
,8/1/17 2:40,2.37,4.31,0.39,1.06,2.08,2.06,,3.12
,8/1/17 2:41,2.22,3.63,0.39,1.34,2.08,1.81,,3.34
,8/1/17 2:42,2.22,3.13,0.39,1.69,1.18,1.62,,3.40
,8/1/17 2:43,2.23,2.63,0.39,1.94,0.28,2.06,,2.75
,8/1/17 2:44,1.27,2.28,0.39,2.19,0.28,2.90,,1.84
,8/1/17 2:45,0.31,2.59,0.39,2.44,1.29,3.37,,1.38
,8/1/17 2:46,0.31,3.53,0.39,2.62,2.01,2.78,,0.97
,8/1/17 2:47,0.31,4.09,0.39,2.81,1.99,2.44,,0.66
,8/1/17 2:48,0.31,4.47,0.39,3.00,2.02,2.25,,0.72
,8/1/17 2:49,0.31,4.69,0.39,3.15,2.04,2.06,,1.22
,8/1/17 2:50,0.31,4.94,0.39,3.34,2.06,1.87,,1.72
,8/1/17 2:51,2.39,4.69,0.39,3.50,1.17,1.69,,2.16
,8/1/17 2:52,2.24,4.03,0.39,3.65,0.28,1.87,,2.50
,8/1/17 2:53,2.21,3.50,0.39,3.78,0.28,2.81,,2.81
,8/1/17 2:54,2.23,2.94,0.39,3.90,1.23,3.53,,3.06
,8/1/17 2:55,2.22,2.47,0.39,4.09,2.16,3.25,,3.25
,8/1/17 2:56,0.31,2.22,0.39,4.22,1.98,2.75,,3.44
,8/1/17 2:57,0.31,2.81,0.39,4.34,2.01,2.50,,3.03
,8/1/17 2:58,0.31,3.66,0.39,4.47,2.04,2.34,,2.03
,8/1/17 2:59,0.31,4.22,0.39,4.59,2.05,2.12,,1.34
,8/1/17 3:00,0.31,4.50,0.39,4.72,2.07,1.94,,1.00
,8/1/17 3:01,0.31,4.75,0.39,4.84,1.18,1.75,,0.75
,8/1/17 3:02,0.31,4.94,0.39,4.93,0.28,1.94,,0.66
,8/1/17 3:03,2.39,4.50,0.39,5.03,0.27,2.72,,1.09
,8/1/17 3:04,2.23,3.59,0.39,5.15,1.24,3.41,,1.72
,8/1/17 3:05,2.20,2.91,0.39,5.28,2.14,3.03,,2.16
,8/1/17 3:06,2.21,2.41,0.39,5.34,1.97,2.56,,2.53
,8/1/17 3:07,0.31,2.31,0.39,5.47,2.01,2.37,,2.81
,8/1/17 3:08,0.31,3.00,0.39,5.59,2.03,2.22,,3.06
,8/1/17 3:09,0.31,3.81,0.39,5.68,2.05,2.00,,3.28
,8/1/17 3:10,0.31,4.28,0.39,5.78,2.07,1.81,,3.47
,8/1/17 3:11,0.31,4.53,1.67,5.84,0.28,1.75,,2.93
,8/1/17 3:12,0.31,4.75,3.14,5.19,0.28,2.34,,1.97
,8/1/17 3:13,0.31,4.94,3.16,3.81,0.28,3.19,,1.31
,8/1/17 3:14,2.38,4.43,3.18,2.72,2.23,3.34,,0.97
,8/1/17 3:15,2.22,3.53,3.17,1.97,1.97,2.69,,0.56
,8/1/17 3:16,2.21,2.88,3.15,1.38,1.98,2.44,,0.72
,8/1/17 3:17,1.56,2.38,3.15,0.91,2.02,2.25,,1.25
,8/1/17 3:18,0.31,2.28,3.15,0.47,2.05,2.03,,1.88
,8/1/17 3:19,0.31,3.06,3.16,0.00,2.07,1.87,,2.28
,8/1/17 3:20,0.31,3.84,3.16,-0.41,0.28,1.81,,2.62
,8/1/17 3:21,0.32,4.28,3.15,-0.75,0.28,2.43,,2.87
,8/1/17 3:22,0.32,4.56,3.15,-1.09,0.28,3.22,,3.12
,8/1/17 3:23,0.32,4.78,3.15,-1.41,2.15,3.31,,3.31
,8/1/17 3:24,1.34,4.93,3.16,-1.69,1.96,2.66,,3.43
,8/1/17 3:25,2.36,4.25,3.15,-1.94,1.99,2.50,,2.81
,8/1/17 3:26,2.21,3.34,3.15,-2.19,2.03,2.56,,1.87
,8/1/17 3:27,2.22,2.75,3.16,-2.44,2.05,2.50,,1.38
,8/1/17 3:28,1.28,2.28,3.15,-2.65,2.07,2.37,,0.88
,8/1/17 3:29,0.32,2.50,3.14,-2.87,2.09,2.12,,0.56
,8/1/17 3:30,0.31,3.34,3.15,-3.06,2.09,1.87,,0.88
,8/1/17 3:31,0.31,4.06,3.14,-3.25,0.28,1.84,,1.47
,8/1/17 3:32,0.31,4.41,3.14,-3.40,0.28,2.53,,2.00
,8/1/17 3:33,0.32,4.65,3.14,-3.59,0.28,3.28,,2.41
,8/1/17 3:34,0.32,4.84,1.77,-3.62,2.20,3.28,,2.69
,8/1/17 3:35,2.32,4.78,0.40,-2.72,1.98,2.66,,2.94
,8/1/17 3:36,2.30,3.90,0.40,-1.50,2.01,2.44,,3.19
,8/1/17 3:37,2.23,3.16,0.40,-0.69,2.04,2.22,,3.37
,8/1/17 3:38,2.19,2.63,0.40,-0.09,2.06,2.03,,3.41
,8/1/17 3:39,0.32,2.25,0.40,0.25,1.17,1.84,,2.56
,8/1/17 3:40,0.32,2.68,0.40,0.50,0.28,1.91,,1.62
,8/1/17 3:41,0.31,3.59,0.40,0.69,0.28,2.65,,1.12
,8/1/17 3:42,0.32,4.16,0.40,0.87,1.12,3.38,,0.84
,8/1/17 3:43,0.32,4.47,0.39,1.09,2.19,3.15,,0.59
,8/1/17 3:44,0.32,4.69,0.39,1.44,1.97,2.56,,0.94
,8/1/17 3:45,0.32,4.87,0.39,1.75,2.01,2.37,,1.59
,8/1/17 3:46,2.41,5.06,0.39,2.00,2.04,2.15,,2.09
,8/1/17 3:47,2.25,4.22,0.39,2.22,2.07,1.94,,2.47
,8/1/17 3:48,2.23,3.53,0.39,2.44,0.28,1.84,,2.75
,8/1/17 3:49,2.24,3.06,0.38,2.65,0.28,2.47,,3.00
,8/1/17 3:50,2.23,2.59,0.39,2.84,0.28,3.22,,3.19
,8/1/17 3:51,0.32,2.31,0.39,3.90,2.21,3.37,,3.37
,8/1/17 3:52,0.31,2.81,0.39,4.31,,2.72,,3.28
,8/1/17 3:53,0.31,3.69,0.39,4.62,,2.40,,2.37
,8/1/17 3:54,0.31,4.28,0.39,5.75,2.03,2.25,,1.56
,8/1/17 3:55,0.31,4.59,0.39,6.12,2.06,2.00,2.28,1.37
,8/1/17 3:56,0.31,4.78,0.39,6.78,0.28,1.81,2.27,1.12
,8/1/17 3:57,1.37,4.90,0.39,6.91,0.28,2.28,2.29,0.84
,8/1/17 3:58,2.33,4.12,0.39,7.28,0.28,3.12,2.32,0.68
,8/1/17 3:59,2.23,3.28,0.39,7.28,2.14,3.47,0.31,0.53
,8/1/17 4:00,2.24,2.69,0.39,7.34,1.97,2.81,0.31,0.89
,8/1/17 4:01,1.29,2.28,0.39,7.87,2.00,2.44,0.31,1.53
,8/1/17 4:02,0.32,2.62,0.39,7.84,2.03,2.25,0.31,1.91
,8/1/17 4:03,0.32,3.53,0.39,8.09,2.05,2.03,0.31,2.18
,8/1/17 4:04,0.32,4.13,3.20,7.97,1.17,1.84,0.31,2.50
,8/1/17 4:05,0.32,4.47,3.16,6.66,0.28,2.19,0.31,2.87
,8/1/17 4:06,0.32,4.69,3.17,5.43,0.28,2.81,0.31,3.09
,8/1/17 4:07,0.32,4.87,3.16,4.66,1.28,3.53,0.31,3.28
,8/1/17 4:08,2.41,4.68,3.16,4.09,2.05,2.91,0.31,3.47
,8/1/17 4:09,2.28,3.72,3.16,3.59,1.99,2.50,2.37,2.90
,8/1/17 4:10,2.24,3.00,3.15,3.16,2.02,2.28,2.28,2.12
,8/1/17 4:11,2.25,2.50,3.15,2.75,2.04,2.09,2.32,1.63
,8/1/17 4:12,0.32,2.18,3.16,2.41,1.16,1.87,2.28,1.19
,8/1/17 4:13,0.32,2.78,3.16,2.59,0.27,2.09,2.28,0.78
,8/1/17 4:14,0.32,3.62,3.16,2.56,0.27,2.93,0.31,0.50
,8/1/17 4:15,0.32,4.16,3.16,2.59,2.25,3.50,0.31,0.88
,8/1/17 4:16,0.32,4.50,3.16,2.31,2.19,2.97,0.31,1.47
,8/1/17 4:17,0.32,4.72,3.15,1.97,1.98,2.50,0.31,2.00
,8/1/17 4:18,0.32,4.90,3.15,1.69,2.02,2.28,0.31,2.34
,8/1/17 4:19,2.43,4.62,3.15,1.37,2.05,2.06,0.31,2.69
,8/1/17 4:20,2.29,3.68,3.15,1.12,1.17,1.87,0.31,2.97
,8/1/17 4:21,2.26,2.97,3.15,0.90,0.28,2.03,0.31,3.19
,8/1/17 4:22,2.27,2.50,0.00,1.50,0.28,2.87,0.31,3.37
,8/1/17 4:23,0.33,2.25,0.00,4.34,1.25,3.47,0.32,3.50
,8/1/17 4:24,0.32,2.93,0.00,5.78,2.13,3.03,0.31,3.72
,8/1/17 4:25,0.32,3.75,0.00,7.03,1.97,2.53,0.31,3.84
,8/1/17 4:26,0.32,4.25,0.00,7.97,2.02,2.28,0.31,4.00
,8/1/17 4:27,0.32,4.53,0.00,8.78,2.04,2.09,0.31,4.12
,8/1/17 4:28,0.32,4.75,0.00,9.22,1.17,1.87,0.32,4.25
,8/1/17 4:29,0.32,4.90,0.00,9.56,0.28,2.03,0.31,4.34
,8/1/17 4:30,2.43,4.37,0.00,9.75,0.28,2.78,0.31,4.47
,8/1/17 4:31,2.28,3.47,0.00,10.90,1.23,3.47,0.31,4.59
,8/1/17 4:32,2.27,2.84,0.00,11.19,2.15,3.09,0.31,4.68
,8/1/17 4:33,1.30,2.38,0.00,10.72,1.98,2.56,0.31,4.78
,8/1/17 4:34,0.32,2.41,0.00,10.47,2.01,2.31,0.31,4.84
,8/1/17 4:35,0.32,3.18,0.00,10.56,2.04,2.09,0.31,4.97
,8/1/17 4:36,0.32,3.94,0.00,10.81,1.16,1.87,0.31,5.06
,8/1/17 4:37,0.32,4.34,0.00,11.09,0.27,2.03,0.31,5.12
,8/1/17 4:38,0.32,4.59,0.00,11.34,0.27,2.84,0.31,5.22
,8/1/17 4:39,0.32,4.81,0.00,11.66,1.22,3.47,0.31,5.28
,8/1/17 4:40,1.39,4.87,0.00,11.90,2.28,3.22,0.31,5.34
,8/1/17 4:41,2.34,4.09,0.00,11.87,1.97,2.94,0.31,5.40
,8/1/17 4:42,2.25,3.25,0.00,11.78,2.01,2.81,0.31,5.50
,8/1/17 4:43,2.27,2.69,0.00,12.31,2.04,2.59,0.31,5.56
,8/1/17 4:44,1.29,2.28,0.00,13.28,2.07,2.31,0.31,5.65
,8/1/17 4:45,0.33,2.59,0.00,13.16,2.08,2.06,0.31,5.68
,8/1/17 4:46,0.33,3.50,0.00,13.06,0.28,1.84,0.31,5.75
,8/1/17 4:47,0.32,4.09,0.00,13.15,0.28,2.28,0.31,5.84
,8/1/17 4:48,0.32,4.44,0.00,13.47,0.28,3.09,0.31,5.90
,8/1/17 4:49,0.32,4.69,0.00,13.16,2.65,3.50,0.31,5.93
,8/1/17 4:50,0.32,4.87,0.00,13.53,2.02,2.88,0.31,6.03
,8/1/17 4:51,2.44,4.65,0.00,13.87,1.98,2.50,0.31,6.06
,8/1/17 4:52,2.28,3.72,0.00,13.90,2.02,2.28,0.31,6.12
,8/1/17 4:53,2.24,2.94,0.00,14.78,2.05,2.09,0.31,6.25
,8/1/17 4:54,2.27,2.44,0.00,15.44,1.17,1.87,0.31,6.47
,8/1/17 4:55,0.32,2.31,0.00,15.40,0.28,2.12,0.31,6.50
,8/1/17 4:56,0.32,2.97,0.00,15.31,0.28,2.94,0.31,6.50
,8/1/17 4:57,0.32,3.78,0.00,15.03,1.27,3.50,0.31,6.53
,8/1/17 4:58,0.32,4.28,0.00,14.69,2.07,3.00,0.31,6.56
,8/1/17 4:59,0.32,4.56,0.00,14.44,1.98,2.56,0.31,6.59
,8/1/17 5:00,0.33,4.75,0.00,14.25,2.03,2.31,0.32,6.62
,8/1/17 5:01,1.32,4.97,0.42,12.41,2.06,2.09,0.31,6.81
,8/1/17 5:02,2.43,4.31,0.40,8.66,1.17,1.90,0.32,7.25
,8/1/17 5:03,2.29,3.40,0.39,7.91,0.28,2.47,0.32,7.34
,8/1/17 5:04,2.28,2.75,3.19,7.44,0.28,4.31,0.32,7.22
,8/1/17 5:05,1.30,2.34,3.15,5.88,1.31,5.22,0.32,7.22
,8/1/17 5:06,0.33,2.44,3.14,4.68,2.08,4.37,0.32,7.22
,8/1/17 5:07,0.33,3.31,3.14,3.87,2.02,3.91,0.32,7.22
,8/1/17 5:08,0.33,4.00,3.13,3.28,2.06,3.53,0.32,7.25
,8/1/17 5:09,0.33,4.37,3.13,2.75,2.08,3.25,0.32,7.25
,8/1/17 5:10,0.33,4.62,3.13,2.28,2.09,2.94,0.32,7.31
,8/1/17 5:11,0.33,4.81,3.13,1.84,2.10,2.65,0.32,7.31
,8/1/17 5:12,1.40,4.87,3.13,1.50,2.10,2.44,1.40,7.34
,8/1/17 5:13,2.36,4.12,3.12,1.19,2.08,2.19,2.42,6.62
,8/1/17 5:14,2.27,3.25,3.12,0.91,2.10,1.94,2.27,5.47
,8/1/17 5:15,2.27,2.66,3.12,0.62,1.19,1.78,2.27,4.72
,8/1/17 5:16,1.30,2.25,3.12,0.37,0.28,1.97,2.30,4.03
,8/1/17 5:17,0.33,2.65,3.12,0.12,0.28,2.78,2.30,3.47
,8/1/17 5:18,0.33,3.53,3.12,-0.19,1.26,3.41,2.29,2.97
,8/1/17 5:19,0.33,4.13,3.12,-0.44,2.13,3.00,2.30,2.59
,8/1/17 5:20,0.33,4.50,3.12,-0.69,1.99,2.59,2.30,2.22
,8/1/17 5:21,0.33,4.69,3.12,-0.94,2.02,2.40,2.28,1.91
,8/1/17 5:22,0.33,4.90,3.11,-1.12,2.04,2.19,2.26,1.59
,8/1/17 5:23,2.45,4.68,3.11,-1.37,2.08,2.00,2.26,1.31
,8/1/17 5:24,2.29,3.72,3.11,-1.62,1.18,1.78,2.26,1.06
